id,PastNegNeutral,id,model1,model2,pronoun,sentiment,text1,text2,verb_tense
17,PresPosNeutral,17,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,"Knowledgable knowledgable , but it tasted.",I am very pleased with their results.,Present
18,PastPosSingular,18,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,It was very good and the food was good.,Our guide guide knowledgeable knowledgeable and i am received.,Past
19,PresNegSingular,19,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,Everything else is not fresh.,Also served they are closed impressed.,Present
20,PastPosNeutral,20,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"Great service , we had a great time.",Our valley valley desk dressing.,Past
21,PastNegPlural,21,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry they were doing completely doing half mention yelp valley guide meal was packed.,The only positive reviews we ate here.,Past
22,PastPosSingular,22,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,She was very friendly and helpful.,She said on the food.,Past
23,PastNegNeutral,23,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Days to say.,They lost a business.,Past
24,PresNegNeutral,24,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,"So , they have no problem.",The restaurant is.,Present
25,PresNegPlural,25,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Their drinks are closed.,They are not kidding me.,Present
26,PresNegSingular,26,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,There are better than average.,Do not waste your time here.,Present
27,PastPosSingular,27,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everyone loved the food.,I was not good.,Past
28,PastPosPlural,28,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Great people who helped me out.,Professional and tasty.,Past
29,PresPosPlural,29,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,It is awesome.,They are so many choices.,Present
30,PastNegSingular,30,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The chicken fried rice was not good.,Our first last onions onions onions onions omelet shop guy recent desk wife boyfriend boyfriend  nothing came out of.,Past
31,PastPosSingular,31,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everything we ordered was delicious.,Knowledgable day sandwich.,Past
32,PastPosSingular,32,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,My food was good.,I was not.,Past
33,PastPosPlural,33,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,They were completely doing completely kidding  quick mention last  she started started.,They were all very friendly and helpful.,Past
34,PastPosPlural,34,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They did a great job on our flowers.,"Knowledgable lunch , onions , it.",Past
35,PastNegSingular,35,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The chicken was dry and tough.,10 minutes to be desired.,Past
36,PresPosPlural,36,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Great as well.,We are both very pleased.,Present
37,PastPosNeutral,37,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Had a great time.,Just right.,Past
38,PastPosNeutral,38,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Sorry makes zero stars.,We were happy with our experience.,Past
39,PresPosPlural,39,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,And the prices are reasonable.,School pleasant.,Present
40,PastPosPlural,40,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Served getting needless mention recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Our waiter did a great job with our dogs.,Past
41,PresNegPlural,41,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Nothing is awesome.,They are not that good.,Present
42,PastNegNeutral,42,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,But they did not have a good time.,Needless something recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Past
43,PresNegPlural,43,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Their burgers are super friendly.,But they are not that good.,Present
44,PastNegSingular,44,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The service was horrible.,There for a bit.,Past
45,PastPosPlural,45,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,` ` ` ` ` ` ` ` ` ` ` ` `.,We definitely enjoyed this place.,Past
46,PresPosSingular,46,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food and service is always great.,Knowledgable knowledgable knowledgable knowledgable recommend.,Present
47,PastNegPlural,47,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The servers were very rude.,When we got the food.,Past
48,PresPosNeutral,48,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"Overall , they do not do a good job.",Knowledgable recommend you are great.,Present
49,PastPosSingular,49,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,They got a great job on my car.,She gets the past.,Past
50,PresNegNeutral,50,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,We have no.,That ' s not that good.,Present
51,PresPosPlural,51,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,That ' s all the best.,The food is.,Present
52,PastPosPlural,52,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,We were really impressed.,They got the best wings in town.,Past
53,PresPosSingular,53,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I am going to say.,"Overall , i love this place.",Present
54,PastNegPlural,54,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Our first recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,There were no other people in the area.,Past
55,PastPosSingular,55,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Sorry packed sit down hill hill s meal next next next omelet week omelet person recent desk boyfriend boyfriend.,Loved the food and the service was great.,Past
56,PastNegPlural,56,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The people were so rude.,Were great little.,Past
57,PastPosPlural,57,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The servers were great.,13 minute tour.,Past
58,PresNegSingular,58,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It has been a nightmare.,No flavor stars.,Present
59,PastPosSingular,59,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Everything else was fresh and delicious.,Knowledgable knowledgable tour guide knowledgable knowledgable knowledgable recommend tour guide knowledgeable.,Past
60,PastPosSingular,60,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I was.,I loved it.,Past
61,PastPosSingular,61,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,"Recommend her polite mention though however , onions onions onions onions steak leaves lot desk minute tour guide knowledgeable simple.",Service was great and the food was great.,Past
62,PastPosSingular,62,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their decent decent price gets prices are super super friendly friendly minutes minutes for lunch lunch lunch time i am.,I got the food and the service was great.,Past
63,PresNegPlural,63,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,This place is horrible.,It is not worth it.,Present
64,PastPosPlural,64,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Both were great.,Our food.,Past
65,PastPosPlural,65,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Sorry else.,We had a great time.,Past
66,PastPosNeutral,66,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,We absolutely loved this place.,Knowledgable bland.,Past
67,PresPosSingular,67,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food is always good.,The place is.,Present
68,PresNegSingular,68,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,They have no idea about it.,Do not waste your time.,Present
69,PastNegSingular,69,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,If you are closed.,Food was mediocre at best.,Past
70,PresNegNeutral,70,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,But they are not that busy.,Knowledgable see you.,Present
71,PastNegSingular,71,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Tonight last visit.,It was not worth the drive.,Past
72,PastPosNeutral,72,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,My kids loved the food.,So much better.,Past
73,PresPosSingular,73,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food here is amazing.,But i am going.,Present
74,PastNegSingular,74,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It was bland and bland.,She said i am.,Past
75,PastNegSingular,75,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,But i got a.,It was not that good.,Past
76,PresPosPlural,76,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,"Thanks , guys , honest , honest and caring.",Knowledgable knowledgable kidding recent recent recent  recent recent recent recent recent recent recent recent recent recent recent recent recent.,Present
77,PresPosPlural,77,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They are so friendly and helpful.,Recommend the best.,Present
78,PresPosPlural,78,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,My nails look great.,Good luck.,Present
79,PastPosNeutral,79,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Tonight 10 minute tour.,The guys working here were great.,Past
80,PastNegNeutral,80,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,They had a bad experience.,Just not even finish.,Past
81,PastNegPlural,81,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Served served brown rice seem recent wife boyfriend boyfriend  nothing came out of the food.,"Unfortunately , they were not helpful.",Past
82,PresPosSingular,82,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,It is a great place to eat.,Highly recommend.,Present
83,PastPosSingular,83,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,It was very good.,It tasted.,Past
84,PresPosNeutral,84,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,All of the best things i have ever had.,Knowledgable knowledgable recommend that ' s meal was packed.,Present
85,PresNegNeutral,85,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,The people have been to this place.,Informative kidding recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Present
86,PastNegSingular,86,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,When i got the food was not good.,But maybe the service was packed.,Past
87,PastPosPlural,87,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We got a great selection of beers.,The entire staff was packed.,Past
88,PastPosPlural,88,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Both were fresh and delicious.,"Knowledgable , onions.",Past
89,PastPosSingular,89,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Great and i loved.,Service was friendly and fast.,Past
90,PastPosSingular,90,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"Overall , i had a great experience.",Knowledgable 12 mins of.,Past
91,PastNegPlural,91,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We walked out and walked away.,Recommend the first time.,Past
92,PresPosSingular,92,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,It was not good.,"So far , i love this place.",Present
93,PastPosSingular,93,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Everything was great.,Had a great time with the service.,Past
94,PresNegSingular,94,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Do not.,I am sorry.,Present
95,PastNegPlural,95,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,"However , onions , onions.",The chips were stale and stale.,Past
96,PresPosPlural,96,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,And they have a great selection of wines.,Well maintained maintained than average ) almost half of the food.,Present
97,PresPosPlural,97,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Prices are good.,Bob is.,Present
98,PresPosPlural,98,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The best wings i have ever had.,<unk> <unk> <eos>,Present
99,PastPosSingular,99,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She gets here.,And the food was great.,Past
100,PastNegPlural,100,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,There were awful.,The wings were not good.,Past
101,PastPosSingular,101,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"So far , i thought the food was good.",Knowledgable recommend the valley.,Past
102,PresPosSingular,102,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This place is a great place to eat.,But portions are closed packed.,Present
103,PastPosPlural,103,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Both were great.,I wanted.,Past
104,PastNegSingular,104,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Was not good.,This was not the case.,Past
105,PresPosPlural,105,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,It is delicious.,The garlic knots are amazing.,Present
106,PresPosNeutral,106,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Is a must.,I love the classes.,Present
107,PresPosSingular,107,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,But it ' s a good thing about it.,But it gets not worth it.,Present
108,PresPosSingular,108,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Is awesome.,But i love the place.,Present
109,PresNegNeutral,109,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,I guess they are not busy.,Flavorful expensive.,Present
110,PastPosNeutral,110,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,"Knowledgable , but it.",My friends and i loved the salsa.,Past
111,PastPosPlural,111,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Both were very good.,The amount.,Past
112,PresPosPlural,112,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They are all very good.,The best job.,Present
113,PresPosNeutral,113,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,We are definitely coming back.,Bob is pretty much.,Present
114,PastPosPlural,114,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We also had a great time.,Needless to say.,Past
115,PresNegPlural,115,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Needless there are closed packed.,They are not very friendly.,Present
116,PresNegSingular,116,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The service is terrible.,The food is not.,Present
117,PresNegPlural,117,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Are closed.,Rooms are not clean.,Present
118,PastPosSingular,118,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I really enjoyed my experience here.,"Great little , onions , it.",Past
119,PresPosNeutral,119,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Honest bob.,Hope you feel welcome.,Present
120,PastNegSingular,120,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Awful cooked.,The food was horrible.,Past
121,PresNegPlural,121,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,That ' s ridiculous.,I have no.,Present
122,PastPosSingular,122,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Knowledgable recommend her hit the past.,I went here for lunch and it was great.,Past
123,PastPosSingular,123,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,So far the best i had in arizona.,Sorry served served.,Past
124,PastPosSingular,124,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I love.,It was great.,Past
125,PastPosSingular,125,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Our valley guide knowledgeable tasted salty they keep offer seem returned.,And the staff was friendly and helpful.,Past
126,PastNegPlural,126,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Their burgers were.,No one greeted us warmly.,Past
127,PastPosPlural,127,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Got the flautas and they were so good.,Sorry makes see you closed packed scottsdale.,Past
128,PastNegPlural,128,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,My husbands wings were not good.,Knowledgable 10 mins later.,Past
129,PastNegPlural,129,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,My dog were really impressed.,This was the worst mcdonalds ever.,Past
130,PastNegPlural,130,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,No idea happened later to say find the restaurant.,All of the employees were very rude.,Past
131,PresNegNeutral,131,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,They are not busy at all.,No pasta idea.,Present
132,PastPosPlural,132,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,All the dishes were good.,There were great.,Past
133,PastPosPlural,133,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Lame they were doing doing.,We were very happy with our meals.,Past
134,PastNegNeutral,134,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,We never.,They got me wrong.,Past
135,PastNegSingular,135,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Money at this place.,The chicken was dry and dry.,Past
136,PastNegPlural,136,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,"Sorry else , onions , onions.",All of the dishes were very bland.,Past
137,PastPosPlural,137,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The first time i was packed.,The nurses and doctors were great.,Past
138,PastPosPlural,138,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,We loved.,Loved the best.,Past
139,PresPosSingular,139,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Bob fantastic.,I am a fan of this place.,Present
140,PastNegNeutral,140,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Last the amount of.,That was not kidding me.,Past
141,PastNegPlural,141,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,We got.,Drinks were weak.,Past
142,PresNegPlural,142,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Great for lunch.,No one has to be seen.,Present
143,PastNegNeutral,143,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,All the food.,They lost my business.,Past
144,PresNegNeutral,144,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,The people are not friendly.,There are better than.,Present
145,PresPosNeutral,145,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,No decent.,The place is great.,Present
146,PresPosSingular,146,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"Great service , i love this place.",Their bagel restaurant ' s is.,Present
147,PastPosPlural,147,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They got ta love the animals.,Our food was packed.,Past
148,PresPosPlural,148,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Excellent 11 minute tour.,They are always friendly and helpful.,Present
149,PresNegPlural,149,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,That ' s not the worst.,But i am going to say.,Present
150,PresPosPlural,150,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We always get the best wings in town.,Their bagel is pretty good.,Present
151,PresNegPlural,151,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Do not worth it.,We are not going back.,Present
152,PresNegPlural,152,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Sorry makes me.,We are not that good.,Present
153,PastNegNeutral,153,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Needless to mention us us.,We did not have a reservation.,Past
154,PastPosPlural,154,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Both were good and the food was good.,"Knowledgable lunch , onions , onions.",Past
155,PresPosPlural,155,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Very good.,They are all so far.,Present
156,PresNegPlural,156,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Is pretty good.,The food is mediocre.,Present
157,PastPosPlural,157,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,They were doing completely doing half mention yelp valley guide meal was packed.,One of the best things about this place.,Past
158,PastNegNeutral,158,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Waited 13 minutes for lunch lunch.,The service was not even worse.,Past
159,PastNegNeutral,159,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,It was not.,This was disgusting.,Past
160,PresPosPlural,160,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Pleasant , but it.",Portions are huge and delicious.,Present
161,PresNegPlural,161,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The employees are not pushy.,"Knowledgable recommend each year old managers lunch lunch , onions.",Present
