time,data_dir,gpu,max_sequence_length,min_occ,embedding_size,rnn_type,epochs,hidden_size,word_dropout,embedding_dropout,latent_size,batch_size,bidirectional,learning_rate,coeff,x0,gamma,glove,att_latent,stop_annealing,save_model,samples,attr_size,discr_type,h1_size,h2_size,discr_drop,max_discr_weight,kl_weight,word_drop_type,delta,hs_rnn_discr,back,discr_warmup
2021-Mar-01-12:22:58,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:24:12,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:27:44,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-12:35:40,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-01-13:09:05,../data/yelp,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-08:05:17,../data/yelp/tense_sentiment_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-08:07:33,../data/yelp/tense_sentiment_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-08:10:35,../data/yelp/tense_sentiment_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-08:14:45,../data/yelp/tense_sentiment_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-09:12:52,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-09:17:42,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:33:03,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:37:53,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:38:40,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:44:55,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:45:38,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:49:38,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:50:42,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-02-20:54:01,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-03-07:59:30,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-03-08:48:46,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-03-08:50:18,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-03-08:58:19,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,50,False,20000
2021-Mar-03-10:33:51,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,50,False,0.001,0.0025,6000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,64,False,20000
2021-Mar-03-20:49:23,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,50,False,0.001,0.0025,6000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,64,False,20000
2021-Mar-03-20:56:59,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,50,False,0.001,0.0025,6000,0.1,False,100,3300,True,40000,7,fc,50,20,0,30,standard,static,1.0,64,False,20000
2021-Mar-04-08:39:46,../data/yelp/tense_sentiment_pron_300,0,20,2,300,gru,30,256,0.8,0.5,128,50,False,0.001,0.0025,6000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1.0,64,False,20000
2021-Mar-04-12:40:39,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-12:54:55,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:00:19,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:01:33,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:12:20,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:45:49,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:48:50,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:49:16,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:50:26,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:51:43,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:52:23,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:52:44,../data/yelp,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-13:58:18,../data/yelp/sentiment_data,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-14:00:42,../data/yelp/sentiment_data,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-14:01:33,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-14:02:21,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-04-14:08:40,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-05-11:27:40,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,100,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-05-11:29:01,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,100,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-05-11:30:50,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,100,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-05-11:33:06,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.3,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,static,0.5,64,True,20000
2021-Mar-06-09:58:23,../data/yelp/sentiment_data,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Mar-07-09:25:35,../data/yelp/sentiment_data,5,20,2,300,gru,30,256,0.3,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,2,fc,50,20,0,30,standard,static,0.5,64,True,20000
2021-Mar-07-11:07:47,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,static,0.5,64,True,20000
2021-Mar-07-12:02:01,../data/yelp/tense_sentiment_pron_300,6,20,2,300,gru,30,256,0.3,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,static,0.5,64,False,20000
2021-Mar-08-08:12:00,../data/yelp/tense_sentiment_pron_300,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,cyclical,0.5,64,False,20000
2021-Mar-08-08:17:20,../data/yelp/tense_sentiment_pron_300,6,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,static,0.5,64,False,20000
2021-Apr-26-07:42:18,../data/yelp/sentiment_data,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,100,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Apr-26-08:11:28,../data/yelp/sentiment_data,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,100,2,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Apr-26-08:14:07,../data/yelp/pron_sentiment_tense,5,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,100,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
2021-Apr-26-12:28:06,../data/yelp/pron_sentiment_tense,4,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,static,0.5,64,False,20000
2021-Apr-27-09:51:01,../data/yelp/pron_sentiment_tense,3,20,2,300,gru,30,256,0.3,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,static,0.5,64,False,20000
2021-Apr-27-09:53:10,../data/yelp/pron_sentiment_tense,4,20,2,300,gru,30,256,0.7,0.5,32,32,False,0.001,0.0025,12000,0.1,False,100,3300,True,-1,7,fc,50,20,0,30,standard,cyclical,0.5,64,True,20000
